"id","name","genres","popularity","followers","degree"
"2YZyLoL8N0Wb9xBt1NhZWg",Kendrick Lamar,"conscious hip hop,hip hop,rap,west coast rap",90,28656288,0
"3TVXtAsR1Inumwj472S9r4",Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",93,87528011,1
"1RyvyyTE3xzB2ZywiAwp0i",Future,"atl hip hop,hip hop,rap,southern hip hop,trap",90,16941914,1
"0iEtIxbK0KxaSlF7G42ZOp",Metro Boomin,rap,90,8027605,1
"7tYKF4w9nC0nq9CsPZTHyP",SZA,"pop,r&b,rap",88,19787815,1
"6l3HvQ5sa6mXTsMTB19rO5",J. Cole,"conscious hip hop,hip hop,north carolina hip hop,rap",84,23445923,1
"13ubrt8QOOCPljQ2FL1Kca",A$AP Rocky,"east coast hip hop,hip hop,rap,trap",81,13993416,1
"4LLpKhyESsyAXpc4laK94U",Mac Miller,"hip hop,pittsburgh rap,rap",79,10352799,1
"57LYzLEk2LcFghVwuWbcuS",Summer Walker,"r&b,rap",77,6341075,1
"5LHRHt1k9lMyONurDHEdrp",Tyga,"hip hop,pop rap,rap,southern hip hop,trap",75,6801181,1
"5ZS223C6JyBfXasXxrRqOk",Jhené Aiko,r&b,74,7637653,1
"1pPmIToKXyGdsCF6LmqLmI",Rich The Kid,"atl hip hop,melodic rap,plugg,rap,trap",74,3278667,1
"5SXuuuRpukkTvsLuUknva1",Baby Keem,"hip hop,rap",74,2293411,1
"5he5w2lnU9x7JFhnwcekXX",Skrillex,"brostep,complextro,edm,electro,pop dance",73,7560670,1
"17lzZA2AlOHwCwFALHttmp","2 Chainz","atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",72,7967044,1
"3Mcii5XWf6E0lrY3Uky4cA",Ice Cube,"conscious hip hop,g funk,gangster rap,hip hop,rap,west coast rap",70,8443207,1
"5IcR3N7QB1j6KBL8eImZ8m",ScHoolboy Q,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap",70,4686273,1
"0ONHkAv9pCAFxb0zJwDNTy",Pusha T,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop",69,2908572,1
"5ndkK3dpZLKtBklKjxNQwT",B.o.B,"atl hip hop,dance pop,pop rap,rap,southern hip hop",69,2028555,1
"28ExwzUQsvgJooOI0X1mr3",Jay Rock,"conscious hip hop,hip hop,rap,southern hip hop,trap",69,1465978,1
"4frXpPxQQZwbCu3eTGnZEw",Thundercat,"afrofuturism,escape room,indie soul",68,1315543,1
"6UBA15slIuadJ8h2lPRPos",Tech N9ne,"detroit hip hop,kansas city hip hop,pop rap",65,2723759,1
"3A5tHz1SfngyOZM2gItYKu",Earl Sweatshirt,"alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",65,2215350,1
"53KwLdlmrlCelAZMaLVZqU",James Blake,"art pop,indie soul,indietronica,uk alternative pop",65,1433395,1
"6aaMZ3fcfLv4tEbmY7bjRM",Isaiah Rashad,"hip hop,rap,tennessee hip hop,underground hip hop",65,1425538,1
"3QTDHixorJelOLxoxcjqGx",SiR,"alternative r&b,la pop",65,1017967,1
"4qXC0i02bSFstECuXP2ZpL",Blxst,"pop rap,westcoast flow",65,478602,1
"3qBKjEOanahMxlRojwCzhI",Zacari,"soul,r&b",65,99142,1
"6FD0unjzGQhX3b6eMccMJe",Ghostface Killah,"east coast hip hop,hardcore hip hop",63,893049,1
"5pnbUBPifNnlusY8kTBivi",Jadakiss,"battle rap,east coast hip hop,trap",61,1184326,1
"2WoVwexZuODvclzULjPQtm",Sampha,"alternative r&b,indie soul",61,751411,1
