"id","name","genres","popularity","followers","degree","mined_at"
"2YZyLoL8N0Wb9xBt1NhZWg",Kendrick Lamar,"conscious hip hop,hip hop,rap,west coast rap",90,28656288,0,2024-05-13 00:25:23.576
"3TVXtAsR1Inumwj472S9r4",Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",93,87528011,1,2024-05-13 00:42:03.235
"6l3HvQ5sa6mXTsMTB19rO5",J. Cole,"conscious hip hop,hip hop,north carolina hip hop,rap",84,23445923,1,2024-05-13 00:42:03.304
"7tYKF4w9nC0nq9CsPZTHyP",SZA,"pop,r&b,rap",88,19787815,1,2024-05-13 00:28:59.898
"1RyvyyTE3xzB2ZywiAwp0i",Future,"atl hip hop,hip hop,rap,southern hip hop,trap",90,16941914,1,2024-05-13 00:28:59.885
"13ubrt8QOOCPljQ2FL1Kca",A$AP Rocky,"east coast hip hop,hip hop,rap,trap",81,13993416,1,2024-05-13 00:45:05.468
"0iEtIxbK0KxaSlF7G42ZOp",Metro Boomin,rap,90,8027605,1,2024-05-13 00:28:59.897
"17lzZA2AlOHwCwFALHttmp","2 Chainz","atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",72,7967044,1,2024-05-13 00:45:05.555
"5ZS223C6JyBfXasXxrRqOk",Jhené Aiko,r&b,74,7637653,1,2024-05-13 00:49:11.571
"5he5w2lnU9x7JFhnwcekXX",Skrillex,"brostep,complextro,edm,electro,pop dance",73,7560670,1,2024-05-13 00:45:05.546
"5LHRHt1k9lMyONurDHEdrp",Tyga,"hip hop,pop rap,rap,southern hip hop,trap",75,6801181,1,2024-05-13 00:45:05.407
"57LYzLEk2LcFghVwuWbcuS",Summer Walker,"r&b,rap",77,6341075,1,2024-05-13 01:25:38.003
"5IcR3N7QB1j6KBL8eImZ8m",ScHoolboy Q,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap",70,4686273,1,2024-05-13 00:42:03.242
"1pPmIToKXyGdsCF6LmqLmI",Rich The Kid,"atl hip hop,melodic rap,plugg,rap,trap",74,3278667,1,2024-05-13 00:45:05.458
"0ONHkAv9pCAFxb0zJwDNTy",Pusha T,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop",69,2908572,1,2024-05-13 00:49:11.583
"5SXuuuRpukkTvsLuUknva1",Baby Keem,"hip hop,rap",74,2293411,1,2024-05-13 00:28:59.889
"3A5tHz1SfngyOZM2gItYKu",Earl Sweatshirt,"alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",65,2215350,1,2024-05-13 01:26:00.508
"5ndkK3dpZLKtBklKjxNQwT",B.o.B,"atl hip hop,dance pop,pop rap,rap,southern hip hop",69,2028555,1,2024-05-13 01:25:37.743
"28ExwzUQsvgJooOI0X1mr3",Jay Rock,"conscious hip hop,hip hop,rap,southern hip hop,trap",69,1465978,1,2024-05-13 00:28:59.888
"53KwLdlmrlCelAZMaLVZqU",James Blake,"art pop,indie soul,indietronica,uk alternative pop",65,1433395,1,2024-05-13 00:42:03.325
"6aaMZ3fcfLv4tEbmY7bjRM",Isaiah Rashad,"hip hop,rap,tennessee hip hop,underground hip hop",65,1425538,1,2024-05-13 00:42:03.182
"4frXpPxQQZwbCu3eTGnZEw",Thundercat,"afrofuturism,escape room,indie soul",68,1315543,1,2024-05-13 00:45:05.459
"5pnbUBPifNnlusY8kTBivi",Jadakiss,"battle rap,east coast hip hop,trap",61,1184326,1,2024-05-13 01:24:36.707
"0g9vAlRPK9Gt3FKCekk4TW",Ab-Soul,"conscious hip hop,hip hop,rap",57,1065538,1,2024-05-13 00:42:03.324
"3QTDHixorJelOLxoxcjqGx",SiR,"alternative r&b,la pop",65,1017967,1,2024-05-13 00:45:05.428
"0CKa42Jqrc9fSFbDjePaXP",Big K.R.I.T.,"conscious hip hop,mississippi hip hop,southern hip hop,trap",52,941164,1,2024-05-13 00:49:11.643
"6FD0unjzGQhX3b6eMccMJe",Ghostface Killah,"east coast hip hop,hardcore hip hop",63,893049,1,2024-05-13 01:25:38.053
"45a6gCQWq61lIUDmr1tKuO",Bun B,"dirty south rap,houston rap",54,876772,1,2024-05-13 01:25:38.128
"7aA592KWirLsnfb5ulGWvU",Danny Brown,"alternative hip hop,detroit hip hop,escape room,hip hop,underground hip hop",58,845530,1,2024-05-13 00:49:11.847
"4qXC0i02bSFstECuXP2ZpL",Blxst,"pop rap,westcoast flow",65,478602,1,2024-05-13 00:42:03.343
"4TsHKU8l8Wq7n7OPVikirn",Jidenna,"ghanaian hip hop,viral trap",48,368607,1,2024-05-13 01:30:13.147
