"id","name","popularity","href"
"2tudvzsrR56uom6smgOcSf",Like That,95,https://api.spotify.com/v1/tracks/2tudvzsrR56uom6smgOcSf
"2OzhQlSqBEmt7hmkYxfT6m",Fortnight (feat. Post Malone),95,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m
"7CyPwkp0oE8Ro9Dd5CUDjW","One Of The Girls (with JENNIE, Lily Rose Depp)",93,https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW
"7bywjHOc0wSjGGbj04XbVi",LUNA,93,https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi
"3w0w2T288dec0mgeZZqoNN",CARNIVAL,93,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN
"42VsgItocQwOQC3XWZ8JNA",FE!N (feat. Playboi Carti),92,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA
"5LhI8m7n8xlQmNe3b7Rwis",Madonna,92,https://api.spotify.com/v1/tracks/5LhI8m7n8xlQmNe3b7Rwis
"5bi0gh89wRuH2OgjdAKFsb",Santa,92,https://api.spotify.com/v1/tracks/5bi0gh89wRuH2OgjdAKFsb
"28drn6tQo95MRvO0jQEo5C",Type Shit,91,https://api.spotify.com/v1/tracks/28drn6tQo95MRvO0jQEo5C
"7iQXYTyuG13aoeHxGG28Nh",PERRO NEGRO,90,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh
"7MXVkk9YMctZqd1Srtv4MB",Starboy,90,https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB
"7KA4W4McWYRpgf0fWsJZWB",See You Again (feat. Kali Uchis),89,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB
"59NraMJsLaMCVtwXTSia8i",Prada,89,https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i
"4uUG5RXrOk84mYEfFvj3cK",I'm Good (Blue),89,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK
"1zi7xx7UVEFkmKfv06H8x0",One Dance,89,https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0
"0LZy30mVmxqUpdQmaXKXBd",ADIVINO,89,https://api.spotify.com/v1/tracks/0LZy30mVmxqUpdQmaXKXBd
"0hKtu53OlIFXVuYkZwcn3o",Cinderella,88,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o
"0u2P5u6lvoDfwTYjAADbn4",lovely (with Khalid),88,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4
"3GCdLUSnKSMJhs4Tj6CV3s",All The Stars (with SZA),88,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s
"6WzRpISELf3YglGAh7TXcG",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),88,https://api.spotify.com/v1/tracks/6WzRpISELf3YglGAh7TXcG
"5RqSsdzTNPX1uzkmlHCFvK",QLONA,88,https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK
"09CnYHiZ5jGT1wr1TXJ9Zt",Thank You (Not So Bad),87,https://api.spotify.com/v1/tracks/09CnYHiZ5jGT1wr1TXJ9Zt
"1yeB8MUNeLo9Ek1UEpsyz6",Rich Baby Daddy (feat. Sexyy Red & SZA),87,https://api.spotify.com/v1/tracks/1yeB8MUNeLo9Ek1UEpsyz6
"331l3xABO0HMr1Kkyh2LZq",I Don't Wanna Wait,87,https://api.spotify.com/v1/tracks/331l3xABO0HMr1Kkyh2LZq
